iteration,val_loss,RMSE,MAE,accuracy,R2,ExplainedVar
0,14447.859375,1.1917026042938232,0.7152013778686523,0.3044626712799072,0.37151220440864563,0.3672052323818207
1,14442.4326171875,1.1913018226623535,0.712986409664154,0.3051251471042633,0.37176379561424255,0.3678737282752991
2,14466.3134765625,1.1918903589248657,0.7086994051933289,0.305490642786026,0.3700980544090271,0.36699140071868896
3,14443.7138671875,1.1913779973983765,0.7127922773361206,0.30496740341186523,0.3713383674621582,0.3674179017543793
4,14454.2294921875,1.1922639608383179,0.714339554309845,0.3036807179450989,0.3703976273536682,0.36592933535575867
5,14458.734375,1.1913065910339355,0.710721492767334,0.30624350905418396,0.37319791316986084,0.3698103129863739
6,14456.947265625,1.1913126707077026,0.7106699347496033,0.30615055561065674,0.37145623564720154,0.3683881163597107
7,14443.6552734375,1.1919243335723877,0.7174111008644104,0.30361777544021606,0.3718855082988739,0.3669920265674591
8,14451.3896484375,1.1929283142089844,0.7231764793395996,0.30168935656547546,0.3725008964538574,0.3664047122001648
9,14432.326171875,1.1908115148544312,0.7104651927947998,0.30561408400535583,0.3693026304244995,0.36624255776405334
